seed,ckpt,epoch,RMSE_WD,CSI_005,CSI_03
666,best_val_loss,922,0.14611124992370605,0.6799975633621216,0.8335973024368286
666,best_CSI,632,0.1599929928779602,0.7408813834190369,0.7940114140510559
1,best_val_loss,546,0.15389245748519897,0.6662917137145996,0.8114320635795593
1,best_CSI,95,0.20428922772407532,0.7115967273712158,0.7596845626831055
200,best_val_loss,541,0.13743798434734344,0.7269376516342163,0.833873987197876
200,best_CSI,287,0.17475742101669312,0.8110945224761963,0.6945741176605225
450,best_val_loss,668,0.14592212438583374,0.7133194208145142,0.8249567747116089
450,best_CSI,371,0.15430764853954315,0.7430694103240967,0.7894591093063354
800,best_val_loss,660,0.12740541994571686,0.729699969291687,0.856552243232727
800,best_CSI,347,0.15142878890037537,0.797687292098999,0.8207379579544067
